Binding item,JPB1 pins,Nets,Requirement scope,LB-100 resource class,Direction,STM32H5 planning note,Freeze dependency
Ground and analog return,1-12,GND AGND,Core,Ground return and analog reference,PB-100/LB-100,No MCU pin assignment; allocate return strategy with LB-100 power tree,Close return-current strategy AGND handling and connector pin review before schematic freeze
Protected 5V supply to LB-100,13-16,PB_5V_OUT,Core,Power input to LB-100,PB-100 to LB-100,No MCU pin assignment; feeds LB-100 power tree only,Close PB_5V_OUT load budget inrush and power-good interpretation before schematic freeze
LB 3V3 IO reference to PB-100,17-18,LB_3V3_IO,Core,Power output or IO reference from LB-100,LB-100 to PB-100,No MCU pin assignment; must not power accessory loads,Close LB_3V3_IO sequencing reset behavior and PB-side pull-up domain before schematic freeze
Power-good and wake status,19-20,PB_PWR_GOOD PB_WAKE_REQ,Core plus Should,GPIO input and GPIO interrupt,PB-100 to LB-100,No exact STM32H5 package pin assigned before LB-100 schematic review,Close LB-100 interrupt wake strategy and PB_PWR_GOOD inactive-until-valid interpretation before schematic freeze
Output control commands,21-30,OUT1_CTL..OUT10_CTL,Core,10 GPIO/PWM-capable outputs,LB-100 to PB-100,No exact STM32H5 package pin assigned before LB-100 schematic review,Close timer/GPIO allocation and default-low reset behavior before schematic freeze
Output fault inputs,31-40,OUT1_FLT..OUT10_FLT,Core,10 GPIO inputs or interrupt-capable inputs,PB-100 to LB-100,No exact STM32H5 package pin assigned before LB-100 schematic review,Close fault pull-up domain aggregation interrupt strategy and safe default handling before schematic freeze
Per-output current telemetry,41-50,OUT1_IMON..OUT10_IMON,Core,10 ADC-capable inputs,PB-100 to LB-100,No exact STM32H5 package pin assigned before LB-100 schematic review,Close ADC channel count scaling filtering calibration and sample timing before schematic freeze
Board analog telemetry and identity,51-55; 60; 66,VBAT_SENSE IIN_SENSE TEMP_PCB TEMP_PWR_A TEMP_PWR_B PB_ID_ADC ADC_REF,Core plus Should,ADC inputs plus optional ADC reference,Mixed,No exact STM32H5 package pin assigned before LB-100 schematic review,Close ADC scaling reference strategy board identity tolerance and calibration ownership before schematic freeze
Board fault summary,56,PB_FAULT,Core,GPIO input or interrupt-capable input,PB-100 to LB-100,No exact STM32H5 package pin assigned before LB-100 schematic review,Close board-level fault pull-up interrupt and safe-default handling before schematic freeze
PB-side monitor bus and interrupt,57-59,PB_I2C_SCL PB_I2C_SDA PB_I2C_INT,Should,I2C bus plus GPIO interrupt,Mixed,No exact STM32H5 package pin assigned before LB-100 schematic review,Close I2C pull-ups address ownership interrupt behavior and monitor fallback before schematic freeze
Future SPI monitor bus,61-65,PB_SPI_SCK PB_SPI_MISO PB_SPI_MOSI PB_SPI_CS0 PB_SPI_CS1,Future,SPI peripheral plus chip-select GPIO,Mixed,No exact STM32H5 package pin assigned before LB-100 schematic review,Keep DNP/reserved until a future schematic review consumes SPI monitor pins
CAN1 safety crossing,67-70,CAN1_TX_DISABLE_CMD CAN1_TX_DISABLED_STATUS CAN1_RX_ROUTE CAN1_TX_ROUTE,Core if CAN1 crosses PB plus Future TX route,GPIO plus FDCAN RX/TX resources,Mixed,No exact STM32H5 package pin assigned before LB-100 schematic review,Close DNP/open TX route disabled-status readback listen-only RX and future-ADR boundary before schematic freeze
CAN2 expansion route,71-72,CAN2_RX_ROUTE CAN2_TX_ROUTE,Future,FDCAN RX/TX resources,Mixed,No exact STM32H5 package pin assigned before LB-100 schematic review,Keep expansion route DNP until CAN2 physical routing is accepted in schematic review
LIN RS485 and UART expansion,73-79,LIN_TX LIN_RX RS485_DE RS485_RX RS485_TX UART_TX UART_RX,Future,UART resources plus direction GPIO,Mixed,No exact STM32H5 package pin assigned before LB-100 schematic review,Keep serial expansion DNP/reserved until a future schematic review consumes these pins
External ADC manual control and 5V enable,80-84,EXT_ADC1 EXT_ADC2 FOG_SW_IN EXT_DIG2 EXT_5V_EN,Mixed,ADC inputs protected GPIO inputs and GPIO output,Mixed,FOG_SW_IN is bound to PA8 with LB pull-up and RC filtering; remaining positions stay reserved,Preserve active-low safe default and keep unused external expansion DNP/reserved
Spare reserve pins,85-100,SPARE_01..SPARE_16,Future,Unassigned reserve,Mixed,No exact STM32H5 package pin assignment; reserve remains uncommitted,Do not consume reserve pins before a future schematic review updates PB-100 and LB-100 together
