Evidence ID,Subject,Required evidence,Current evidence,Status,Authorization effect
Q2E-001,Qualification route,Reviewed replacement audit selects retained IAUTN15S6N025ATMA1 and project-specific empirical qualification,PB-100-q2-replacement-evidence-audit.md and PB-100-q2-empirical-qualification-plan.md define the route,PASS PLAN,Permits controlled coupon design only
Q2E-002,Frozen corner,"101 V 40 A initial Tj 150 degC 10.0-14.5 V VGS 128 mA sink separate 7 us deglitch and ten events at 60 s",The empirical plan preserves every Q2Q-001 through Q2Q-009 input,PASS PLAN,Does not close PBREL-007
Q2E-003,Coupon design,Retain the committed exact-Q2/controller coupon as an optional diagnostic artifact without further critical-path development,Q2-C100 retains its preliminary four-layer PCB complete pad-to-pad routing seven-spoke source fanout exact passives Molex interfaces Harwin test points BOM variants and safety/fabrication gate; ADR-0019 pauses further work while FAB-REVIEW fit instruments safety fabrication and energized use remain open,PAUSED DIAGNOSTIC,Does not block PB-100 EVT layout or fabrication and remains unavailable for fabrication or energized use
Q2E-004,Discharge-stimulus correlation,Demonstrate that the fixture is no stronger than the complete LM74930-Q1 worst-case HGATE discharge or use a reviewed slower controller corner,No controlled-sink versus actual-controller correlation exists,NOT STARTED,Blocks Phase B
Q2E-005,Instrumentation readiness,"Calibrated 200 MHz acquisition 1 GS/s per channel 100 MHz VDS and VGS probes 50 MHz current channel deskew and uncertainty budget",No instrument list calibration record deskew record or uncertainty budget exists,NOT STARTED,Blocks energized characterization
Q2E-006,Temperature calibration,Per-DUT temperature-sensitive electrical-parameter calibration proving initial Tj 150 degC,No temperature calibration fixture procedure or data exists,NOT STARTED,Blocks Phase A and Phase B
Q2E-007,Phase A characterization,Five engineering DUTs from one lot with both VGS endpoints fixture ringing probe loading and controller correlation reviewed,No Phase A DUTs or raw waveforms exist,NOT STARTED,Cannot close Q2Q-010 through Q2Q-015
Q2E-008,Phase B lot population,Thirty new DUTs with ten from each of at least three independent authorized-distributor lot/date codes,No qualification DUTs or lot/date-code trace exists,NOT STARTED,Blocks Phase B
Q2E-009,Phase B repeated events,All 30 DUTs and 300 events pass the frozen corner and 60 s spacing contract,No Phase B event has been executed,NOT STARTED,Blocks Q2Q-010 through Q2Q-015
Q2E-010,Numeric analysis,Versioned script extracts timing residual current uncertainty-expanded VDS/ID locus energy and SOA margin from lossless raw data,No empirical-analysis script or immutable raw-data manifest exists,NOT STARTED,Blocks evidence acceptance
Q2E-011,Post-stress acceptance,All DUTs pass breakdown leakage gate leakage threshold RDS(on) drift and physical inspection criteria,No incoming or post-stress parameter record exists,NOT STARTED,Blocks evidence acceptance
Q2E-012,Independent technical review,Codex review records the setup calibration lot trace raw data analysis script and results before Product Owner acceptance; this is the required independent technical review and no second developer is required,No Codex review record exists,NOT STARTED,Blocks Q2Q-018
Q2E-013,Empirical evidence package,Committed coupon source calibration raw data hashes result CSV SOA report deviations and review sign-off,Approved plan and controlled Q2-C100 source exist but no calibration raw-data manifest results SOA report deviations or review sign-off exist,NOT STARTED,Blocks PASS EMPIRICAL
Q2E-014,Production release decision,Q2Q-010 through Q2Q-015 are PASS VENDOR or PASS EMPIRICAL and Q2Q-018 is accepted,PBREL-007 is Conditional for production while ADR-0019 authorizes PB-100 Rev.1 EVT layout,BLOCKED,Blocks PRODUCTION-RELEASE but not PB-100 EVT layout or a separately reviewed EVT fabrication package
